id,xxx,gene
1,XXX,D_72 72
10,XXX,A_100 100
100,XXX,B_91 91
1000,XXX,H_44 44
10000,XXX,P_25 25
100000,XXX,AD_19 19
1000000,XXX,AV_12 12
10000000,XXX,BV_11 11
100000000,XXX,CZ_9 9
1000000000,XXX,EF_7 7
10000000000,XXX,FB_5 5
100000000000,XXX,FS_1 1
1000001,XXX,AW_7 7
10000010,XXX,BX_6 6
100000100,XXX,DC_1 1
10000011,XXX,BY_1 1
100001,XXX,AX_4 4
1000010,XXX,AE_6 6
10000100,XXX,BZ_2 2
100001000,XXX,DD_1 1
10000101,XXX,CA_2 2
100001010,XXX,DF_1 1
10001,XXX,Q_19 19
100010,XXX,AF_17 17
1000100,XXX,AZ_14 14
10001000,XXX,DH_7 7
100010000,XXX,CD_11 11
1000100000,XXX,EL_6 6
10001000000,XXX,FX_3 3
100010000000,XXX,GJ_2 2
1000100000000,XXX,FJ_4 4
10001000000000,XXX,GP_1 1
10001000001,XXX,FK_2 2
100010000010,XXX,FZ_1 1
10001001,XXX,EN_3 3
100010010,XXX,DI_4 4
1000100100,XXX,FL_2 2
10001001000,XXX,GB_1 1
10001002,XXX,DJ_2 2
100010020,XXX,CE_3 3
1000100200,XXX,EP_1 1
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,BD_9 9
1001000,XXX,AH_10 10
10010000,XXX,CH_8 8
100100000,XXX,DN_6 6
1001000000,XXX,ES_2 2
10010000000,XXX,FQ_1 1
10010001,XXX,CI_1 1
100101,XXX,AI_4 4
1001010,XXX,BF_3 3
10010100,XXX,CJ_2 2
100101000,XXX,DP_1 1
100101001,XXX,DQ_1 1
10011,XXX,S_14 14
100110,XXX,AJ_9 9
1001100,XXX,BH_6 6
10011000,XXX,DR_2 2
100110000,XXX,CL_4 4
1001100000,XXX,EV_1 1
1001100001,XXX,EW_1 1
10011001,XXX,DS_2 2
100110010,XXX,EX_1 1
1001101,XXX,BI_3 3
10011010,XXX,CN_2 2
100110100,XXX,DV_1 1
1002,XXX,E_19 19
10020,XXX,J_15 15
100200,XXX,AL_7 7
1002000,XXX,T_9 9
10020000,XXX,BL_4 4
100200000,XXX,CT_3 3
1002000000,XXX,DZ_2 2
10020000000,XXX,EZ_1 1
10020001,XXX,BM_3 3
100200010,XXX,CW_1 1
100201,XXX,AN_4 4
1002010,XXX,U_6 6
10020100,XXX,BP_3 3
100201000,XXX,CX_2 2
1002010000,XXX,ED_1 1
