id,xxx,gene
1,XXX,A_100 100
10,XXX,B_91 91
100,XXX,D_72 72
1000,XXX,H_44 44
10000,XXX,AD_19 19
100000,XXX,AV_12 12
1000000,XXX,BV_11 11
10000000,XXX,P_25 25
100000000,XXX,CZ_9 9
1000000000,XXX,EF_7 7
10000000000,XXX,FC_2 2
100000000000,XXX,FU_1 1
10000000001,XXX,GO_1 1
100000000010,XXX,FB_5 5
1000000000100,XXX,FR_4 4
1000000001,XXX,EG_2 2
100000001,XXX,EI_1 1
1000000010,XXX,DA_2 2
1000001,XXX,BW_1 1
100001,XXX,AW_7 7
1000010,XXX,FF_2 2
10000100,XXX,BX_6 6
100001000,XXX,FW_1 1
1000010000,XXX,EJ_3 3
10000100000,XXX,DB_5 5
1000011,XXX,BY_1 1
100002,XXX,GI_2 2
10001,XXX,AF_17 17
100010,XXX,Q_19 19
1000100,XXX,CD_11 11
10001000,XXX,AZ_14 14
100010000,XXX,DH_7 7
1000100000,XXX,EL_6 6
10001000000,XXX,FJ_4 4
100010000000,XXX,FX_3 3
1000100000000,XXX,GQ_1 1
10001000000000,XXX,GJ_2 2
10001000001,XXX,FK_2 2
100010000010,XXX,FZ_1 1
1000100001,XXX,FE_1 1
100010001,XXX,EO_1 1
1000100010,XXX,DI_4 4
1000101,XXX,DL_1 1
10001010,XXX,CF_2 2
100010100,XXX,BA_3 3
100011,XXX,FT_1 1
10002,XXX,BZ_2 2
100020,XXX,AX_4 4
1000200,XXX,AE_6 6
10002000,XXX,DD_1 1
10002001,XXX,DE_1 1
1001,XXX,I_28 28
10010,XXX,R_14 14
100100,XXX,BD_9 9
1001000,XXX,CH_8 8
10010000,XXX,FP_1 1
100100000,XXX,AH_10 10
1001000000,XXX,DN_6 6
10010000000,XXX,ES_2 2
100101,XXX,AI_4 4
1001010,XXX,CJ_2 2
10010100,XXX,DQ_1 1
100101000,XXX,BF_3 3
1001011,XXX,BG_1 1
10011,XXX,AJ_9 9
100110,XXX,S_14 14
1001100,XXX,DT_1 1
10011000,XXX,CM_2 2
100110000,XXX,BH_6 6
1001101,XXX,DV_1 1
10011010,XXX,CN_2 2
100110100,XXX,BI_3 3
101,XXX,J_15 15
1010,XXX,E_19 19
10100,XXX,AL_7 7
101000,XXX,T_9 9
1010000,XXX,BM_3 3
10100000,XXX,CV_2 2
101000000,XXX,EB_1 1
101000001,XXX,EC_1 1
10100001,XXX,CW_1 1
1010001,XXX,CT_3 3
10100010,XXX,FA_1 1
101000100,XXX,DZ_2 2
1010001000,XXX,BL_4 4
10101,XXX,U_6 6
101010,XXX,AN_4 4
1010100,XXX,BQ_1 1
101011,XXX,AO_2 2
1010110,XXX,BR_1 1
10102,XXX,BO_1 1
101020,XXX,AM_2 2
102,XXX,V_3 3
1020,XXX,K_4 4
10200,XXX,AP_2 2
102000,XXX,BT_1 1
10201,XXX,AQ_1 1
11,XXX,F_5 5
110,XXX,C_9 9
1100,XXX,L_3 3
11000,XXX,AR_1 1
110000,XXX,X_2 2
1101,XXX,M_2 2
11010,XXX,AA_1 1
